age,med,lower,upper,N
0,0.21052631578947367,0.16666666666666666,0.2543859649122807,114
1,0.23300970873786409,0.1941747572815534,0.2762135922330096,206
2,0.2,0.17096774193548386,0.22903225806451613,310
3,0.1568627450980392,0.13480392156862744,0.18137254901960784,408
4,0.13704496788008566,0.11563169164882227,0.15845824411134904,467
5,0.10256410256410256,0.08547008547008547,0.12179487179487179,468
6,0.06293706293706294,0.04895104895104895,0.07692307692307693,429
7,0.03206997084548105,0.023323615160349854,0.04081632653061224,343
8,0,0,0,235
9,0,0,0,141
10,0,0,0,74
11,0,0,0,21
