"time","n","quantile(V1, 0.5)","quantile(V1, 0.025)","quantile(V1, 0.975)"
2001,2755,0.0952380952380952,0,0.333333333333333
2002,2755,0.0945945945945946,0,0.283783783783784
2003,2755,0.205673758865248,0.0567375886524823,0.340425531914894
2004,2755,0.246808510638298,0.165957446808511,0.331914893617021
2005,2755,0.0903790087463557,0.0408163265306122,0.142857142857143
2006,2755,0.04,0.02,0.0711111111111111
2007,2755,0.199261992619926,0.156826568265683,0.24169741697417
2008,2755,0.14792899408284,0.106508875739645,0.191321499013807
2009,2755,0.424757281553398,0.378640776699029,0.466019417475728
2010,2755,0.129963898916967,0.0613718411552347,0.212996389891697
2011,2755,0.128491620111732,0.0502793296089385,0.217877094972067
2012,2755,0.166666666666667,0.0952380952380952,0.261904761904762
