Year,Data,Map,Estimate
2001,avid_debbink,Debbink,"0.0952 (0, 0.524)"
2002,avid_debbink,Debbink,"0.351 (0.0554, 0.527)"
2003,avid_debbink,Debbink,"0.0638 (0, 0.283)"
2004,avid_debbink,Debbink,"0.0426 (0, 0.213)"
2005,avid_debbink,Debbink,"0.163 (0.00583, 0.326)"
2006,avid_debbink,Debbink,"0.276 (0.149, 0.384)"
2007,avid_debbink,Debbink,"0.199 (0.0579, 0.304)"
2008,avid_debbink,Debbink,"0.0966 (0, 0.235)"
2009,avid_debbink,Debbink,"0.277 (0.119, 0.383)"
2010,avid_debbink,Debbink,"0.0975 (0, 0.339)"
2011,avid_debbink,Debbink,"0.207 (0.00559, 0.369)"
2012,avid_debbink,Debbink,"0.0238 (0, 0.143)"
2001,avid_kendra,Kendra,"0.143 (0, 0.524)"
2002,avid_kendra,Kendra,"0.0541 (0, 0.23)"
2003,avid_kendra,Kendra,"0.00709 (0, 0.12)"
2004,avid_kendra,Kendra,"0.017 (0, 0.123)"
2005,avid_kendra,Kendra,"0.245 (0.146, 0.335)"
2006,avid_kendra,Kendra,"0.349 (0.274, 0.413)"
2007,avid_kendra,Kendra,"0.277 (0.185, 0.36)"
2008,avid_kendra,Kendra,"0.103 (0.00394, 0.209)"
2009,avid_kendra,Kendra,"0.0267 (0, 0.179)"
2010,avid_kendra,Kendra,"0.292 (0.0292, 0.394)"
2011,avid_kendra,Kendra,"0.067 (0, 0.324)"
2012,avid_kendra,Kendra,"0 (0, 0.143)"
2001,both_kendra,Kendra,"0.238 (0, 0.619)"
2002,both_kendra,Kendra,"0.284 (0.108, 0.446)"
2003,both_kendra,Kendra,"0.333 (0.199, 0.461)"
2004,both_kendra,Kendra,"0.153 (0.0426, 0.255)"
2005,both_kendra,Kendra,"0.195 (0.123, 0.262)"
2006,both_kendra,Kendra,"0.0444 (0.02, 0.0867)"
2007,both_kendra,Kendra,"0.277 (0.242, 0.314)"
2008,both_kendra,Kendra,"0.191 (0.15, 0.237)"
2009,both_kendra,Kendra,"0.335 (0.289, 0.381)"
2010,both_kendra,Kendra,"0.292 (0.224, 0.35)"
2011,both_kendra,Kendra,"0.151 (0.0838, 0.223)"
2012,both_kendra,Kendra,"0.0476 (0, 0.167)"
2001,both_real,Debbink,"0.143 (0, 0.524)"
2002,both_real,Debbink,"0.446 (0.297, 0.554)"
2003,both_real,Debbink,"0.241 (0.106, 0.369)"
2004,both_real,Debbink,"0.111 (0.00851, 0.225)"
2005,both_real,Debbink,"0.192 (0.128, 0.253)"
2006,both_real,Debbink,"0.0378 (0.0178, 0.0711)"
2007,both_real,Debbink,"0.286 (0.251, 0.323)"
2008,both_real,Debbink,"0.203 (0.162, 0.244)"
2009,both_real,Debbink,"0.333 (0.289, 0.376)"
2010,both_real,Debbink,"0.264 (0.202, 0.325)"
2011,both_real,Debbink,"0.184 (0.118, 0.257)"
2012,both_real,Debbink,"0.0714 (0, 0.167)"
2001,ic50_kendra,Kendra,"0.333 (0, 0.714)"
2002,ic50_kendra,Kendra,"0.284 (0.0811, 0.446)"
2003,ic50_kendra,Kendra,"0.326 (0.177, 0.447)"
2004,ic50_kendra,Kendra,"0.0936 (0, 0.221)"
2005,ic50_kendra,Kendra,"0.169 (0.0991, 0.242)"
2006,ic50_kendra,Kendra,"0.0378 (0.02, 0.0689)"
2007,ic50_kendra,Kendra,"0.255 (0.216, 0.293)"
2008,ic50_kendra,Kendra,"0.191 (0.154, 0.233)"
2009,ic50_kendra,Kendra,"0.34 (0.299, 0.383)"
2010,ic50_kendra,Kendra,"0.274 (0.202, 0.336)"
2011,ic50_kendra,Kendra,"0.179 (0.112, 0.256)"
2012,ic50_kendra,Kendra,"0 (0, 0.119)"
2001,ic50_real,Debbink,"0.286 (0, 0.667)"
2002,ic50_real,Debbink,"0.419 (0.284, 0.554)"
2003,ic50_real,Debbink,"0.206 (0.078, 0.333)"
2004,ic50_real,Debbink,"0.034 (0, 0.162)"
2005,ic50_real,Debbink,"0.178 (0.117, 0.245)"
2006,ic50_real,Debbink,"0.0333 (0.0156, 0.0622)"
2007,ic50_real,Debbink,"0.262 (0.227, 0.297)"
2008,ic50_real,Debbink,"0.199 (0.164, 0.239)"
2009,ic50_real,Debbink,"0.337 (0.296, 0.376)"
2010,ic50_real,Debbink,"0.253 (0.184, 0.318)"
2011,ic50_real,Debbink,"0.223 (0.14, 0.296)"
2012,ic50_real,Debbink,"0.0238 (0, 0.119)"
